recorded_time,temperature,sensor_type
2022-10-26T00:00,-5.689094650205764,UNKNOWN
2022-10-26T00:01,-5.589094650205762,UNKNOWN
2022-10-26T00:02,-5.4890946502057645,UNKNOWN
2022-10-26T00:03,-5.4890946502057645,UNKNOWN
2022-10-26T00:04,-5.689094650205764,UNKNOWN
2022-10-26T00:05,-5.789094650205762,UNKNOWN
2022-10-26T00:06,-5.789094650205762,UNKNOWN
2022-10-26T00:07,-5.689094650205764,UNKNOWN
2022-10-26T00:08,-5.4890946502057645,UNKNOWN
2022-10-26T00:09,-5.4890946502057645,UNKNOWN
2022-10-26T00:10,-5.589094650205762,UNKNOWN
2022-10-26T00:11,-5.589094650205762,UNKNOWN
2022-10-26T00:12,-5.389094650205763,UNKNOWN
2022-10-26T00:13,-5.289094650205762,UNKNOWN
2022-10-26T00:14,-5.289094650205762,UNKNOWN
2022-10-26T00:15,-5.289094650205762,UNKNOWN
2022-10-26T00:16,-5.289094650205762,UNKNOWN
2022-10-26T00:17,-5.389094650205763,UNKNOWN
2022-10-26T00:18,-5.4890946502057645,UNKNOWN
2022-10-26T00:19,-5.589094650205762,UNKNOWN
2022-10-26T00:20,-5.789094650205762,UNKNOWN
2022-10-26T00:21,-6.089094650205762,UNKNOWN
2022-10-26T00:22,-6.289094650205762,UNKNOWN
2022-10-26T00:23,-6.4890946502057645,UNKNOWN
2022-10-26T00:24,-6.789094650205762,UNKNOWN
2022-10-26T00:25,-6.9890946502057645,UNKNOWN
2022-10-26T00:26,-7.289094650205762,UNKNOWN
2022-10-26T00:27,-7.389094650205763,UNKNOWN
2022-10-26T00:28,-7.289094650205762,UNKNOWN
2022-10-26T00:29,-7.389094650205763,UNKNOWN
2022-10-26T00:30,-7.4890946502057645,UNKNOWN
2022-10-26T00:31,-7.689094650205764,UNKNOWN
2022-10-26T00:32,-7.789094650205762,UNKNOWN
2022-10-26T00:33,-7.889094650205763,UNKNOWN
2022-10-26T00:35,-7.889094650205763,UNKNOWN
2022-10-26T00:36,-7.789094650205762,UNKNOWN
2022-10-26T00:37,-7.789094650205762,UNKNOWN
2022-10-26T00:38,-7.689094650205764,UNKNOWN
