sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
39180833601,2022-11-22T07:18:30Z,87,,87,,58,56,0.06438213914849429
39165077590,2022-11-21T06:13:30Z,82,,82,,73,59,0.06273062730627306
39155599080,2022-11-20T10:41:00Z,70,,70,,55,58,0.05339105339105339
39143812117,2022-11-19T08:18:00Z,83,,83,,54,58,0.05767012687427912
39131926640,2022-11-18T06:07:00Z,80,,80,,53,56,0.055757575757575756
39118814351,2022-11-17T07:09:00Z,87,,87,,61,56,0.04055496264674493
39106971887,2022-11-16T06:19:30Z,82,,82,,69,56,0.0718562874251497
39096824244,2022-11-15T07:10:30Z,88,,88,,98,56,0.047261009667024706
39081225409,2022-11-14T06:24:30Z,77,,77,,29,58,0.08057553956834532
39072238068,2022-11-13T08:36:30Z,82,,82,,63,57,0.05005324813631523
39060340355,2022-11-12T08:50:00Z,71,,71,,62,55,0.05896510228640193
39046263490,2022-11-11T06:10:30Z,82,,82,,71,55,0.06119951040391677
39036741854,2022-11-10T07:00:00Z,85,,85,,49,56,0.045300113250283124
39023430538,2022-11-09T06:08:30Z,83,,83,,91,56,0.06286379511059371
39014387244,2022-11-08T06:32:30Z,80,,80,,90,57,0.05942857142857143
39001545977,2022-11-07T06:10:00Z,83,,83,,96,56,0.05952380952380952
38991088800,2022-11-06T07:18:00Z,80,,80,,62,56,0.06744868035190615
38981032435,2022-11-05T08:59:00Z,78,,78,,38,56,0.06155778894472362
38967055758,2022-11-04T06:06:00Z,79,,79,,76,56,0.06658595641646489
38956062731,2022-11-03T07:09:30Z,86,,86,,72,55,0.07292707292707293
38941722309,2022-11-02T06:16:30Z,81,,81,,85,56,0.08669833729216152
38929942738,2022-11-01T07:11:00Z,88,,88,,102,58,0.05447070914696814
38920068716,2022-10-31T08:11:30Z,91,,91,,80,60,0.059044048734770385
38907761994,2022-10-30T09:31:00Z,70,,70,,41,58,0.04647160068846816
38897056155,2022-10-29T08:35:00Z,79,,79,,66,56,0.08324084350721421
38883945442,2022-10-28T06:04:30Z,78,,78,,61,55,0.06815203145478375
38872705325,2022-10-27T07:08:30Z,87,,87,,111,53,0.056451612903225805
38860005114,2022-10-26T06:13:00Z,73,,73,,55,52,0.05935483870967742
38849478686,2022-10-25T07:10:00Z,87,,87,,72,52,0.04782608695652174
38835760556,2022-10-24T06:21:00Z,76,,76,,54,52,0.078003120124805
38825578838,2022-10-23T07:57:00Z,82,,82,,61,52,0.0546583850931677
38814525216,2022-10-22T08:13:30Z,85,,85,,68,51,0.07255520504731862
38802444010,2022-10-21T06:12:00Z,84,,84,,70,52,0.05476190476190476
38793209262,2022-10-20T07:12:00Z,87,,87,,99,55,0.062311557788944726
38780657880,2022-10-19T06:22:30Z,82,,82,,51,61,0.0713436385255648
