timestamp,average_value,lower_bound,upper_bound
2022-10-26T00:00:00Z,95.7,92.5,97.7
2022-10-27T00:00:00Z,96.5,91.1,100.0
2022-10-28T00:00:00Z,94.4,92.4,96.8
2022-10-29T00:00:00Z,97.1,95.9,98.0
2022-10-30T00:00:00Z,97.8,96.1,99.8
2022-10-31T00:00:00Z,97.0,95.5,99.4
2022-11-01T00:00:00Z,97.7,96.9,99.4
2022-11-02T00:00:00Z,96.2,95.5,97.3
2022-11-03T00:00:00Z,95.5,92.0,97.2
2022-11-04T00:00:00Z,96.8,94.4,98.5
2022-11-06T00:00:00Z,96.2,92.2,99.0
2022-11-08T00:00:00Z,96.3,93.4,98.5
2022-11-09T00:00:00Z,96.9,93.9,100.0
2022-11-10T00:00:00Z,96.7,95.4,98.8
2022-11-12T00:00:00Z,94.0,90.3,95.7
2022-11-13T00:00:00Z,95.8,91.4,98.7
2022-11-14T00:00:00Z,94.3,91.7,98.3
2022-11-15T00:00:00Z,96.6,93.5,99.6
2022-11-16T00:00:00Z,97.1,94.6,100.0
2022-11-21T00:00:00Z,96.2,94.2,98.4
2022-11-25T00:00:00Z,97.5,94.6,99.8
2022-11-26T00:00:00Z,96.0,93.2,98.0
2022-11-27T00:00:00Z,97.3,95.3,99.6
2022-11-28T00:00:00Z,96.4,93.2,99.1
2022-11-29T00:00:00Z,97.2,93.2,99.4
