timestamp,rmssd,coverage,low_frequency,high_frequency
2022-10-28T01:30:00,46.874,0.72,702.265,250.791
2022-10-28T01:35:00,47.677,0.81,1002.222,282.468
2022-10-28T01:40:00,59.37,0.973,1288.277,1146.344
2022-10-28T01:45:00,58.816,0.988,2911.996,796.888
2022-10-28T01:50:00,60.05,1.005,956.915,574.837
2022-10-28T01:55:00,56.374,0.931,306.986,517.578
2022-10-28T02:00:00,76.516,0.938,1369.033,1037.949
2022-10-28T02:05:00,78.845,0.977,337.019,1134.534
2022-10-28T02:10:00,80.441,1.005,393.454,1250.973
2022-10-28T02:15:00,84.195,0.951,1283.638,994.281
2022-10-28T02:20:00,80.21,0.974,1641.349,1010.4
2022-10-28T02:25:00,87.884,0.98,1028.69,1411.844
2022-10-28T02:30:00,93.213,0.991,1244.998,1339.457
2022-10-28T02:35:00,109.879,0.976,1351.152,2051.296
2022-10-28T02:40:00,77.512,0.961,1235.671,392.265
2022-10-28T02:45:00,73.648,0.954,3132.189,861.133
2022-10-28T02:50:00,48.998,0.97,1195.357,302.012
2022-10-28T02:55:00,47.536,0.908,523.227,409.096
2022-10-28T03:00:00,44.827,0.926,813.651,309.245
2022-10-28T03:05:00,37.767,0.947,366.01,277.992
2022-10-28T03:10:00,37.629,1.004,624.835,94.555
2022-10-28T03:15:00,49.018,0.956,922.598,525.276
2022-10-28T03:20:00,47.985,1.002,426.057,520.735
2022-10-28T03:25:00,43.117,1.003,279.693,319.778
2022-10-28T03:30:00,47.398,1.006,915.131,444.455
2022-10-28T03:35:00,61.254,1.001,699.195,759.353
2022-10-28T03:40:00,67.938,0.919,982.069,732.163
2022-10-28T03:45:00,73.016,0.993,894.485,1005.469
2022-10-28T03:50:00,71.666,1.002,597.79,938.545
2022-10-28T03:55:00,66.719,0.973,2788.284,791.033
2022-10-28T04:00:00,72.816,1.003,377.056,919.744
2022-10-28T04:05:00,79.199,0.952,3628.254,1015.213
2022-10-28T04:10:00,122.033,0.895,3092.897,2202.33
2022-10-28T04:15:00,159.505,0.954,1662.064,2482.393
2022-10-28T04:20:00,145.505,0.912,2109.473,2783.794
2022-10-28T04:25:00,132.935,0.969,3125.307,2738.988
2022-10-28T04:30:00,150.161,1.006,2590.611,4456.264
2022-10-28T04:35:00,130.093,0.946,2227.116,2170.091
2022-10-28T04:40:00,142.306,0.986,914.801,3213.049
2022-10-28T04:45:00,129.904,1.003,1148.92,2544.72
2022-10-28T04:50:00,120.548,1.004,1117.034,2124.258
2022-10-28T04:55:00,119.572,0.996,1952.483,1934.356
2022-10-28T05:00:00,123.417,0.973,1501.376,2141.778
2022-10-28T05:05:00,107.266,1.002,1298.168,1731.969
2022-10-28T05:10:00,123.238,1.006,1462.372,2373.745
2022-10-28T05:15:00,112.786,0.955,1426.774,1586.592
2022-10-28T05:20:00,135.567,0.996,2000.56,2485.648
2022-10-28T05:25:00,137.846,1.001,3512.155,2299.293
2022-10-28T05:30:00,122.765,0.854,1209.869,1161.098
2022-10-28T05:35:00,86.581,0.978,1498.161,1057.021
2022-10-28T05:40:00,80.485,0.991,2412.514,1265.779
2022-10-28T05:45:00,77.839,0.951,3153.552,932.691
2022-10-28T05:50:00,76.992,0.992,2608.267,712.542
2022-10-28T05:55:00,86.467,0.949,5454.59,1267.261
2022-10-28T06:00:00,94.601,0.783,1201.782,1369.362
2022-10-28T06:05:00,129.168,0.924,1753.496,2158.807
2022-10-28T06:10:00,117.499,0.983,1472.88,1967.233
2022-10-28T06:15:00,122.632,0.729,1576.729,1191.407
2022-10-28T06:20:00,119.87,0.991,1451.864,1713.31
