timestamp,rmssd,coverage,low_frequency,high_frequency
2022-11-12T00:25:00,30.636,0.884,767.479,202.638
2022-11-12T00:30:00,40.455,0.895,2751.322,509.705
2022-11-12T00:35:00,44.388,0.891,1892.475,342.073
2022-11-12T00:40:00,37.428,0.985,1543.634,338.332
2022-11-12T00:45:00,35.394,1.005,443.544,348.571
2022-11-12T00:50:00,34.908,1.004,568.253,303.7
2022-11-12T00:55:00,36.584,1.001,758.01,303.098
2022-11-12T01:00:00,42.196,0.916,4567.757,380.826
2022-11-12T01:05:00,35.296,0.988,504.772,269.819
2022-11-12T01:10:00,39.006,0.966,1138.382,303.688
2022-11-12T01:15:00,38.137,0.905,1826.941,328.954
2022-11-12T01:20:00,41.913,0.946,5874.17,345.102
2022-11-12T01:25:00,47.357,0.963,4377.811,559.792
2022-11-12T01:30:00,47.559,0.961,3213.824,498.03
2022-11-12T01:35:00,42.544,0.939,1249.096,364.87
2022-11-12T01:40:00,42.868,0.919,820.321,552.78
2022-11-12T01:45:00,48.039,0.871,1924.022,517.477
2022-11-12T01:50:00,30.266,0.945,651.56,227.556
2022-11-12T01:55:00,30.131,1.002,392.024,244.608
2022-11-12T02:00:00,34.714,1.003,584.858,305.904
2022-11-12T02:05:00,34.981,1.003,405.274,288.648
2022-11-12T02:10:00,39.632,1.004,686.734,327.494
2022-11-12T02:15:00,41.261,0.905,472.413,356.696
2022-11-12T02:20:00,44.51,0.985,1598.535,498.457
2022-11-12T02:25:00,49.819,0.939,698.394,576.037
2022-11-12T02:30:00,54.107,0.949,3318.662,610.478
2022-11-12T02:35:00,55.066,0.92,1951.918,466.527
2022-11-12T02:40:00,56.651,1.002,632.703,700.172
2022-11-12T02:45:00,59.232,0.851,5406.481,1060.972
2022-11-12T02:50:00,45.819,0.934,1334.919,345.567
2022-11-12T02:55:00,47.014,0.927,1625.856,451.118
2022-11-12T03:00:00,52.134,0.896,3027.842,643.465
2022-11-12T03:05:00,72.728,0.913,2069.323,1241.923
2022-11-12T03:10:00,55.399,0.919,2639.836,620.669
2022-11-12T03:15:00,56.237,0.986,2990.571,727.634
2022-11-12T03:20:00,47.95,0.975,922.988,495.688
2022-11-12T03:25:00,51.509,1.003,1539.577,638.498
2022-11-12T03:30:00,47.738,1.001,784.861,539.154
2022-11-12T03:35:00,42.207,0.921,3068.045,369.304
2022-11-12T03:40:00,41.976,1.003,1027.542,473.134
2022-11-12T03:45:00,49.467,1.002,1479.038,576.443
2022-11-12T03:50:00,50.116,0.984,1031.03,564.756
2022-11-12T03:55:00,46.164,0.933,4383.706,463.863
2022-11-12T04:00:00,45.977,0.93,4084.506,457.677
2022-11-12T04:05:00,60.343,0.92,2248.568,681.337
2022-11-12T04:10:00,48.104,0.912,2519.542,414.302
2022-11-12T04:15:00,40.969,0.852,1983.158,283.118
2022-11-12T04:20:00,46.086,0.906,2836.95,398.342
2022-11-12T04:25:00,49.77,0.973,2947.205,703.38
2022-11-12T04:30:00,49.674,0.96,2559.927,648.755
2022-11-12T04:35:00,41.006,0.94,1258.273,413.076
2022-11-12T04:40:00,47.351,0.966,1636.594,440.36
2022-11-12T04:45:00,49.802,0.918,1432.429,489.069
2022-11-12T04:50:00,43.245,1.004,2259.445,554.655
2022-11-12T04:55:00,45.534,1.003,994.496,464.062
2022-11-12T05:00:00,44.488,0.963,1066.11,416.571
2022-11-12T05:05:00,55.712,0.975,1556.306,620.501
2022-11-12T05:10:00,43.909,0.988,3077.185,526.101
2022-11-12T05:15:00,46.89,1.003,947.269,412.633
